Membership No  Date Joined  Active  
    83931      2020-4-3     no    
    73390      2020-7-12    yes   
    60881      2016-2-2     yes   
    61206      2019-6-18    no    
    32937      2015-8-23    yes   
    71669      2018-7-23    no    
    65669      2020-6-7     no    
    74595      2016-3-2     no    
    18221      2018-5-8     no    
    31590      2018-3-14    yes   
    84625      2016-11-15   no    
    28477      2018-5-9     yes   
    28208      2016-6-6     yes   
    49800      2015-3-2     no    
    74828      2018-3-23    yes   
    51854      2019-3-17    yes   
    85065      2018-7-18    yes   
    78224      2016-9-12    no    
    20458      2019-6-4     no    
    67478      2017-8-13    yes   
