Membership No  Date Joined  Active  
    44561      2020-12-16   no    
    80261      2015-2-14    no    
    81390      2015-12-14   no    
    80328      2017-1-16    yes   
    43634      2019-1-1     no    
    87983      2015-3-10    no    
    39325      2017-1-14    yes   
    41896      2015-5-15    no    
    44705      2016-3-3     no    
    90331      2019-6-12    yes   
    16115      2016-7-5     yes   
    49785      2019-8-11    yes   
    53347      2019-4-12    no    
    48596      2020-11-18   no    
    80378      2018-2-19    yes   
    16167      2020-8-9     yes   
    58220      2020-10-9    no    
    76976      2019-11-16   no    
    16232      2019-9-11    no    
    32647      2018-10-20   no    
